I, [2021-05-07T11:18:59.783677 #23842]  INFO -- : Refreshing Gem list
I, [2021-05-07T11:19:01.936574 #23842]  INFO -- : listening on addr=/var/www/my_app/shared/tmp/sockets/unicorn.sock fd=9
I, [2021-05-07T11:19:01.944471 #23846]  INFO -- : worker=0 ready
I, [2021-05-07T11:19:01.944735 #23842]  INFO -- : master process ready
I, [2021-05-07T11:19:02.797903 #24832]  INFO -- : executing ["/var/www/my_app/shared/bundle/ruby/2.6.0/bin/unicorn", "-c", "/var/www/my_app/current/config/unicorn.rb", "-E", "deployment", "-D", {9=>#<Kgio::UNIXServer:/var/www/my_app/shared/tmp/sockets/unicorn.sock>}] (in /var/www/my_app/releases/20210507111219)
I, [2021-05-07T11:19:02.798023 #24832]  INFO -- : forked child re-executing...
I, [2021-05-07T11:19:03.156937 #24832]  INFO -- : inherited addr=/var/www/my_app/shared/tmp/sockets/unicorn.sock fd=9
I, [2021-05-07T11:19:03.157211 #24832]  INFO -- : Refreshing Gem list
I, [2021-05-07T11:19:04.596646 #24832]  INFO -- : master process ready
I, [2021-05-07T11:19:04.604003 #25363]  INFO -- : worker=0 ready
I, [2021-05-07T11:19:04.689691 #23842]  INFO -- : reaped #<Process::Status: pid 23846 exit 0> worker=0
I, [2021-05-07T11:19:04.689795 #23842]  INFO -- : master complete
95.9.96.61 - - [07/May/2021:22:56:23 +0000] "GET / HTTP/1.0" 200 7270 0.0110
91.236.177.162 - - [08/May/2021:00:43:04 +0000] "GET / HTTP/1.0" 200 7270 0.0096
173.212.233.104 - - [08/May/2021:00:57:36 +0000] "GET / HTTP/1.0" 200 7270 0.0099
133.106.62.110 - - [08/May/2021:01:05:00 +0000] "GET / HTTP/1.0" 200 7691 0.0109
133.106.62.110 - - [08/May/2021:01:05:01 +0000] "GET /404 HTTP/1.0" 404 1722 0.0022
133.106.62.110 - - [08/May/2021:01:05:01 +0000] "GET /404 HTTP/1.0" 404 1722 0.0019
133.106.62.110 - - [08/May/2021:01:05:11 +0000] "GET /manuscripts HTTP/1.0" 200 12106 0.0200
133.106.62.110 - - [08/May/2021:01:05:13 +0000] "GET /events HTTP/1.0" 200 11982 0.0178
133.106.62.110 - - [08/May/2021:01:05:13 +0000] "GET /clubs HTTP/1.0" 200 3528 0.0101
133.106.62.110 - - [08/May/2021:01:05:15 +0000] "GET /clubs/taiikukai_kyugi HTTP/1.0" 200 11405 0.0298
133.106.62.110 - - [08/May/2021:01:05:17 +0000] "GET /clubs/1 HTTP/1.0" 200 4073 0.0116
133.106.62.110 - - [08/May/2021:01:05:22 +0000] "GET /clubs HTTP/1.0" 200 3528 0.0066
